datetime,Ia(A),Ib(A),Ic(A),In(A),Iavg(A),Va(V),Vb(V),Vc(V),Vavg(V),Pa(kW),Pb(kW),Pc(kW),Ptot(kW),VARa(kVAR),VARb(kVAR),VARc(kVAR),VARtot(kVAR),VAa(V),VAb(V),VAc(V),VAtot(V),PFa,PFb,PFc,PFtot,DFa,DFb,DFc,DFtot
1/3/2023 0:00:00,1.509406889,1.940311111,1.542065778,0,0,0,0,0,0,0.247219096,0.226994395,0.369029198,0.843238059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 0:15:00,1.516030068,2.189223646,1.646037841,0,0,0,0,0,0,0.243437251,0.228706058,0.438551681,0.91069402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 0:30:00,1.536577105,2.200126453,1.67019868,0,0,0,0,0,0,0.227649294,0.232168821,0.44239714,0.902214544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 0:45:00,1.540309576,2.151824233,1.644654644,0,0,0,0,0,0,0.219038201,0.233172404,0.45567174,0.907882596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 1:00:00,1.537478613,1.586886985,1.51657945,0,0,0,0,0,0,0.263906781,0.233236769,0.323213173,0.820356404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 1:15:00,1.525446696,1.522026802,1.421773118,0,0,0,0,0,0,0.210795374,0.231140429,0.310049039,0.751984841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 1:30:00,1.529643579,1.966113815,1.634447703,0,0,0,0,0,0,0.258221231,0.231892186,0.417392644,0.907506008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 1:45:00,1.529991555,1.271760562,1.336654444,0,0,0,0,0,0,0.209083555,0.232072956,0.258878878,0.700035305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 2:00:00,1.543532667,1.35726,1.372811,0,0,0,0,0,0,0.210065222,0.23398604,0.278875882,0.72292722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 2:15:00,1.528646667,1.824153333,1.583944,0,0,0,0,0,0,0.256489841,0.23183957,0.388890341,0.877220002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 2:30:00,1.532731071,1.249654866,1.329520079,0,0,0,0,0,0,0.207837802,0.232619169,0.253949635,0.694408008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 2:45:00,1.539259111,1.347425778,1.367606889,0,0,0,0,0,0,0.209194112,0.23348063,0.276281206,0.718893688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 3:00:00,1.53993,1.820318333,1.590106444,0,0,0,0,0,0,0.256696436,0.233969244,0.389398253,0.879862776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 3:15:00,1.541510444,1.251165222,1.334128556,0,0,0,0,0,0,0.208150729,0.23479452,0.254426562,0.697398257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 3:30:00,1.539814556,1.351591444,1.430967889,0,0,0,0,0,0,0.254958162,0.234123714,0.277098419,0.766226749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 3:45:00,1.539765204,1.760174236,1.502253286,0,0,0,0,0,0,0.207847941,0.234048215,0.336884591,0.779069731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 4:00:00,1.540935927,2.271688424,1.672694457,0,0,0,0,0,0,0.207999482,0.234939203,0.451606431,0.894580574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 4:15:00,1.540602158,1.92055571,1.619226495,0,0,0,0,0,0,0.254342525,0.234702357,0.364278833,0.853267382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 4:30:00,1.540302889,1.918375667,1.553925333,0,0,0,0,0,0,0.207455529,0.234458295,0.363982001,0.805895372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 4:45:00,1.539630642,2.262002133,1.734427851,0,0,0,0,0,0,0.255379206,0.234382798,0.451697156,0.941040147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 5:00:00,1.538579317,1.588193009,1.442150523,0,0,0,0,0,0,0.20702325,0.23438805,0.313720734,0.755152443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 5:15:00,1.53006756,1.332114585,1.354262951,0,0,0,0,0,0,0.206267204,0.233011713,0.272146727,0.711450016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 5:30:00,1.519805457,1.52112137,1.475157434,0,0,0,0,0,0,0.251731556,0.231514807,0.317352674,0.800345539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 5:45:00,1.51218559,1.574530191,1.428128986,0,0,0,0,0,0,0.204654477,0.230363508,0.329543155,0.764580362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 6:00:00,1.506164667,1.276625444,1.386720111,0,0,0,0,0,0,0.24949125,0.229357318,0.259646681,0.738515723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 6:15:00,1.508946333,1.304974222,1.333384,0,0,0,0,0,0,0.203417018,0.230004054,0.265848875,0.699372793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 6:30:00,4.98225715,2.52709314,3.633802476,0,0,0,0,0,0,0.718759555,1.064317722,0.485125047,2.268661633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 6:45:00,7.286795,2.319631667,4.841030111,0,0,0,0,0,0,1.080864574,1.61939645,0.379298063,3.079564782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 7:00:00,6.776383889,2.325954778,4.668530667,0,0,0,0,0,0,1.08455861,1.521167381,0.399914576,3.005643078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 7:15:00,1.910746889,2.772983,3.257934667,0,0,0,0,0,0,1.125257929,0.347253346,0.516885419,1.989268016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 7:30:00,5.430019333,2.313926333,4.087769889,0,0,0,0,0,0,0.990404438,1.18604856,0.398068891,2.574523852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 7:45:00,2.792236927,2.305568816,2.11546992,0,0,0,0,0,0,0.214273014,0.559127667,0.390312892,1.163728016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 8:00:00,7.893727307,2.867263516,4.0691635,0,0,0,0,0,0,0.264935139,1.765011257,0.549924715,2.580334714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 8:15:00,6.586508989,4.462227148,4.100270574,0,0,0,0,0,0,0.21429784,1.457639919,0.868702837,2.539799635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 8:30:00,6.578082444,8.915325889,5.642362333,0,0,0,0,0,0,0.259100736,1.453083799,1.810001577,3.522192659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 8:45:00,7.360644161,12.04489871,6.881357995,0,0,0,0,0,0,0.211775879,1.628147089,2.489311605,4.32923424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 9:00:00,8.120795383,12.70875987,7.387401202,0,0,0,0,0,0,0.229563327,1.793139266,2.77415935,4.796861541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 9:15:00,9.184262554,12.57626649,7.889414954,0,0,0,0,0,0,0.376648458,2.05911986,2.747427822,5.183196359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 9:30:00,15.00051244,13.64433878,12.59923844,0,0,0,0,0,0,1.656882854,3.192388287,2.934383951,7.783655473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 9:45:00,14.05905244,15.75342122,13.03866889,0,0,0,0,0,0,1.655446827,2.949607806,3.379049931,7.984104541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 10:00:00,14.02837689,17.30197967,13.73340156,0,0,0,0,0,0,1.763087501,2.942668157,3.63363231,8.339387892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 10:15:00,13.78753567,14.74473589,12.67084044,0,0,0,0,0,0,1.682855071,2.877598465,3.145162447,7.705615918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 10:30:00,9.403531902,11.04801887,8.501457208,0,0,0,0,0,0,0.965101026,2.048779417,2.367258491,5.381826097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 10:45:00,12.871764,17.60747233,14.07093089,0,0,0,0,0,0,2.376340727,2.699495039,3.648226187,8.723134026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2023 11:00:00,14.33041711,21.03885522,15.36044056,0,0,0,0,0,0,2.153299862,2.920957145,4.438515344,9.513488878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
